iter	Passed	Remaining
884	1363	177
885	1365	175
886	1366	174
887	1367	172
888	1368	170
889	1370	169
890	1371	167
891	1372	166
892	1374	164
893	1375	163
894	1376	161
895	1378	159
896	1379	158
897	1380	156
898	1382	155
899	1383	153
900	1384	152
901	1385	150
902	1387	149
903	1388	147
904	1389	145
905	1391	144
906	1392	142
907	1393	141
908	1394	139
909	1395	138
910	1397	136
911	1398	134
912	1399	133
913	1400	131
914	1402	130
915	1404	128
916	1406	127
917	1407	125
918	1409	124
919	1410	122
920	1412	121
921	1413	119
922	1414	118
923	1416	116
924	1418	114
925	1419	113
926	1420	111
927	1421	110
928	1422	108
929	1424	107
930	1425	105
931	1426	104
932	1427	102
933	1429	100
934	1430	99
935	1432	97
936	1434	96
937	1435	94
938	1436	93
939	1437	91
940	1439	90
941	1440	88
942	1441	87
943	1442	85
944	1444	84
945	1445	82
946	1447	81
947	1448	79
948	1450	77
949	1451	76
950	1452	74
951	1453	73
952	1455	71
953	1456	70
954	1457	68
955	1459	67
956	1460	65
957	1462	64
958	1463	62
959	1465	61
960	1466	59
961	1467	57
962	1469	56
963	1470	54
964	1472	53
965	1473	51
966	1475	50
967	1477	48
968	1478	47
969	1480	45
970	1481	44
971	1482	42
972	1483	41
973	1485	39
974	1486	38
975	1487	36
976	1488	35
977	1490	33
978	1492	32
979	1494	30
980	1495	28
981	1496	27
982	1497	25
983	1499	24
984	1500	22
985	1501	21
986	1502	19
987	1504	18
988	1505	16
989	1507	15
990	1509	13
991	1510	12
992	1511	10
993	1513	9
994	1514	7
995	1515	6
996	1516	4
997	1518	3
998	1519	1
999	1520	0
